product_id,width_min,width_max,length_min,length_max,retail_price,housing_code
514,252.0,263.88,120.0,131.88,7342.0,H85EX
514,264.0,275.88,120.0,131.88,7539.0,H85EX
514,276.0,287.88,120.0,131.88,7735.0,H85EX
514,288.0,299.88,120.0,131.88,7932.0,H85EX
514,300.0,311.88,120.0,131.88,8128.0,H85EX
514,312.0,323.88,120.0,131.88,8523.0,H85EX
514,324.0,335.88,120.0,131.88,8713.0,H85EX
514,336.0,347.88,120.0,131.88,8903.0,H85EX
514,348.0,359.88,120.0,131.88,9093.0,H85EX
514,360.0,371.88,120.0,131.88,9282.0,H85EX
514,48.0,59.88,132.0,143.88,3775.0,H6EX
514,60.0,71.88,132.0,143.88,3938.0,H6EX
514,72.0,83.88,132.0,143.88,4101.0,H6EX
514,84.0,95.88,132.0,143.88,4264.0,H6EX
514,96.0,107.88,132.0,143.88,4428.0,H6EX
514,108.0,119.88,132.0,143.88,4591.0,H6EX
514,120.0,131.88,132.0,143.88,4754.0,H6EX
514,132.0,143.88,132.0,143.88,4917.0,H6EX
514,144.0,155.88,132.0,143.88,5042.0,H6EX
514,156.0,167.88,132.0,143.88,5205.0,H6EX
514,168.0,179.88,132.0,143.88,5368.0,H6EX
514,180.0,191.88,132.0,143.88,5531.0,H6EX
514,192.0,203.88,132.0,143.88,5694.0,H75EX
514,204.0,215.88,132.0,143.88,5857.0,H75EX
514,216.0,227.88,132.0,143.88,6020.0,H75EX
514,228.0,239.88,132.0,143.88,6184.0,H75EX
514,240.0,251.88,132.0,143.88,6347.0,H85EX
514,252.0,263.88,132.0,143.88,7499.0,H85EX
514,264.0,275.88,132.0,143.88,7701.0,H85EX
514,276.0,287.88,132.0,143.88,7902.0,H85EX
514,288.0,299.88,132.0,143.88,8104.0,H85EX
514,300.0,311.88,132.0,143.88,8305.0,H85EX
514,312.0,323.88,132.0,143.88,8705.0,H85EX
514,324.0,335.88,132.0,143.88,8899.0,H85EX
514,336.0,347.88,132.0,143.88,9094.0,H85EX
514,348.0,359.88,132.0,143.88,9288.0,H85EX
514,360.0,371.88,132.0,143.88,9483.0,H85EX
514,48.0,59.88,144.0,155.88,3948.0,H75EX
514,60.0,71.88,144.0,155.88,4116.0,H75EX
514,72.0,83.88,144.0,155.88,4284.0,H75EX
514,84.0,95.88,144.0,155.88,4452.0,H75EX
514,96.0,107.88,144.0,155.88,4620.0,H75EX
514,108.0,119.88,144.0,155.88,4788.0,H75EX
514,120.0,131.88,144.0,155.88,4956.0,H75EX
514,132.0,143.88,144.0,155.88,5124.0,H75EX
514,144.0,155.88,144.0,155.88,5251.0,H75EX
514,156.0,167.88,144.0,155.88,5419.0,H75EX
514,168.0,179.88,144.0,155.88,5586.0,H85EX
514,180.0,191.88,144.0,155.88,5754.0,H85EX
514,192.0,203.88,144.0,155.88,5922.0,H85EX
514,204.0,215.88,144.0,155.88,6872.0,H85EX
514,216.0,227.88,144.0,155.88,7078.0,H85EX
514,228.0,239.88,144.0,155.88,7285.0,H85EX
514,240.0,251.88,144.0,155.88,7491.0,H85EX
514,252.0,263.88,144.0,155.88,7697.0,H85EX
514,264.0,275.88,144.0,155.88,7903.0,H85EX
514,276.0,287.88,144.0,155.88,8109.0,H85EX
514,288.0,299.88,144.0,155.88,8316.0,H85EX
514,300.0,311.88,144.0,155.88,8522.0,H85EX
514,312.0,323.88,144.0,155.88,8926.0,H85EX
514,324.0,335.88,144.0,155.88,9126.0,H85EX
514,336.0,347.88,144.0,155.88,9325.0,H85EX
514,348.0,359.88,144.0,155.88,9525.0,H85EX
514,360.0,371.88,144.0,155.88,9724.0,H85EX
514,48.0,59.88,156.0,167.88,4311.0,H75EX
514,60.0,71.88,156.0,167.88,4522.0,H75EX
514,72.0,83.88,156.0,167.88,4733.0,H75EX
514,84.0,95.88,156.0,167.88,4944.0,H75EX
514,96.0,107.88,156.0,167.88,5155.0,H75EX
514,108.0,119.88,156.0,167.88,5366.0,H75EX
514,120.0,131.88,156.0,167.88,5577.0,H75EX
514,132.0,143.88,156.0,167.88,5788.0,H75EX
514,144.0,155.88,156.0,167.88,5955.0,H75EX
514,156.0,167.88,156.0,167.88,6166.0,H75EX
514,168.0,179.88,156.0,167.88,6377.0,H85EX
514,180.0,191.88,156.0,167.88,6588.0,H85EX
514,192.0,203.88,156.0,167.88,6799.0,H85EX
514,204.0,215.88,156.0,167.88,7010.0,H85EX
514,216.0,227.88,156.0,167.88,7221.0,H85EX
514,228.0,239.88,156.0,167.88,7432.0,H85EX
514,240.0,251.88,156.0,167.88,7643.0,H85EX
514,252.0,263.88,156.0,167.88,7854.0,H85EX
514,264.0,275.88,156.0,167.88,8065.0,H85EX
514,276.0,287.88,156.0,167.88,8276.0,H85EX
514,288.0,299.88,156.0,167.88,8487.0,H85EX
514,300.0,311.88,156.0,167.88,8698.0,H85EX
514,312.0,323.88,156.0,167.88,9108.0,H85EX
514,324.0,335.88,156.0,167.88,9312.0,H85EX
514,336.0,347.88,156.0,167.88,9516.0,H85EX
514,348.0,359.88,156.0,167.88,9721.0,H85EX
514,360.0,371.88,156.0,167.88,9925.0,H85EX
514,48.0,59.88,168.0,179.88,4430.0,H75EX
514,60.0,71.88,168.0,179.88,4646.0,H75EX
514,72.0,83.88,168.0,179.88,4862.0,H75EX
514,84.0,95.88,168.0,179.88,5077.0,H75EX
514,96.0,107.88,168.0,179.88,5293.0,H75EX
514,108.0,119.88,168.0,179.88,5509.0,H75EX
514,120.0,131.88,168.0,179.88,5725.0,H75EX
514,132.0,143.88,168.0,179.88,5941.0,H75EX
514,144.0,155.88,168.0,179.88,6109.0,H75EX
514,156.0,167.88,168.0,179.88,6325.0,H75EX
514,168.0,179.88,168.0,179.88,6541.0,H85EX
514,180.0,191.88,168.0,179.88,6757.0,H85EX
514,192.0,203.88,168.0,179.88,6973.0,H85EX
514,204.0,215.88,168.0,179.88,7189.0,H85EX
514,216.0,227.88,168.0,179.88,7404.0,H85EX
514,228.0,239.88,168.0,179.88,7620.0,H85EX
514,240.0,251.88,168.0,179.88,7836.0,H85EX
514,252.0,263.88,168.0,179.88,8052.0,H85EX
514,264.0,275.88,168.0,179.88,8268.0,H85EX
514,276.0,287.88,168.0,179.88,8484.0,H85EX
514,288.0,299.88,168.0,179.88,8699.0,H85EX
514,300.0,311.88,168.0,179.88,8915.0,H85EX
514,312.0,323.88,168.0,179.88,9330.0,H85EX
514,324.0,335.88,168.0,179.88,9539.0,H85EX
514,336.0,347.88,168.0,179.88,9748.0,H85EX
514,348.0,359.88,168.0,179.88,9957.0,H85EX
514,360.0,371.88,168.0,179.88,10166.0,H85EX
